,forecast
2022-06-30,476.55826566291796
2022-07-01,476.171562791287
2022-07-02,474.8037855003
2022-07-03,474.57828717386815
2022-07-04,474.39901670716506
2022-07-05,475.9227829990981
2022-07-06,479.9565869318363
2022-07-07,476.23227019500445
2022-07-08,477.7162853022669
2022-07-09,474.9975633192788
2022-07-10,479.19423805832395
2022-07-11,478.03576844234334
2022-07-12,482.9927765570559
2022-07-13,482.48398467214497
2022-07-14,481.02350589346764
2022-07-15,481.0008570985922
2022-07-16,480.31260688142623
2022-07-17,482.0159737922282
2022-07-18,485.4169523756627
2022-07-19,482.1297002927594
2022-07-20,484.1401665268461
2022-07-21,481.24535868885164
2022-07-22,485.64887118285407
2022-07-23,484.35609828795623
2022-07-24,489.32427415510585
2022-07-25,488.819092183765
2022-07-26,487.3613543917612
2022-07-27,487.33270776581986
2022-07-28,486.6595070019889
